DateOfBirth|DateOfBirthDate|Age
11/17/2003|2003-11-17|15
9/1/1947|1947-09-01|71
1/17/1969|1969-01-17|49
5/22/1994|1994-05-22|24
5/9/1984|1984-05-09|34
4/7/1961|1961-04-07|57
8/7/1962|1962-08-07|56
5/17/1959|1959-05-17|59
9/19/1955|1955-09-19|63
7/9/2016|2016-07-09|2
5/30/1992|1992-05-30|26
2/8/1994|1994-02-08|24
11/14/1944|1944-11-14|74
2/2/1986|1986-02-02|32
3/21/1956|1956-03-21|62
7/1/1960|1960-07-01|58
8/29/1993|1993-08-29|25
11/11/1990|1990-11-11|28
7/13/1964|1964-07-13|54
11/2/1934|1934-11-02|84
6/15/1963|1963-06-15|55
1/1/1955|1955-01-01|63
11/7/1995|1995-11-07|23
3/12/1935|1935-03-12|83
9/16/1996|1996-09-16|22
1/8/1947|1947-01-08|71
12/5/2006|2006-12-05|12
4/28/1986|1986-04-28|32
1/15/1961|1961-01-15|57
5/20/1986|1986-05-20|32
2/1/2004|2004-02-01|14
4/19/1967|1967-04-19|51
1/5/1980|1980-01-05|38
8/21/1987|1987-08-21|31
9/12/1999|1999-09-12|19
12/6/1981|1981-12-06|37
3/15/2002|2002-03-15|16
2/27/1949|1949-02-27|69
9/6/2011|2011-09-06|7
12/30/1977|1977-12-30|41
2/15/1978|1978-02-15|40
3/3/1983|1983-03-03|35
5/14/1965|1965-05-14|53
8/2/2009|2009-08-02|9
3/11/1940|1940-03-11|78
11/17/1972|1972-11-17|46
10/3/1980|1980-10-03|38
10/5/1959|1959-10-05|59
8/30/1947|1947-08-30|71
6/16/1935|1935-06-16|83
1/3/1972|1972-01-03|46
2/14/1946|1946-02-14|72
3/15/1944|1944-03-15|74
3/18/1959|1959-03-18|59
11/17/1995|1995-11-17|23
2/25/1970|1970-02-25|48
6/27/1986|1986-06-27|32
12/6/1983|1983-12-06|35
3/10/2009|2009-03-10|9
6/16/1964|1964-06-16|54
5/26/1943|1943-05-26|75
6/17/2009|2009-06-17|9
12/4/2015|2015-12-04|3
4/19/2005|2005-04-19|13
3/17/1940|1940-03-17|78
7/27/1975|1975-07-27|43
9/17/1981|1981-09-17|37
5/1/1937|1937-05-01|81
11/3/1987|1987-11-03|31
4/26/2008|2008-04-26|10
10/24/1948|1948-10-24|70
3/26/2013|2013-03-26|5
11/14/1995|1995-11-14|23
6/5/1933|1933-06-05|85
10/4/2000|2000-10-04|18
7/22/1955|1955-07-22|63
5/20/1985|1985-05-20|33
10/21/1968|1968-10-21|50
1/29/2017|2017-01-29|1
4/17/2004|2004-04-17|14
1/21/1975|1975-01-21|43
9/17/1954|1954-09-17|64
2/2/2006|2006-02-02|12
10/22/1993|1993-10-22|25
7/8/1968|1968-07-08|50
4/19/1966|1966-04-19|52
5/11/2008|2008-05-11|10
4/26/1963|1963-04-26|55
10/29/1950|1950-10-29|68
12/4/1940|1940-12-04|78
11/17/2010|2010-11-17|8
7/13/2008|2008-07-13|10
7/3/1973|1973-07-03|45
5/11/1980|1980-05-11|38
11/19/1988|1988-11-19|30
1/8/2011|2011-01-08|7
8/25/1969|1969-08-25|49
12/27/1959|1959-12-27|59
2/23/1952|1952-02-23|66
1/28/2001|2001-01-28|17
10/6/1985|1985-10-06|33
10/27/2012|2012-10-27|6
7/2/1946|1946-07-02|72
11/21/2005|2005-11-21|13
4/29/1978|1978-04-29|40
9/11/2017|2017-09-11|1
4/22/1953|1953-04-22|65
8/11/1993|1993-08-11|25
8/29/1958|1958-08-29|60
8/11/1991|1991-08-11|27
9/15/1984|1984-09-15|34
12/19/1947|1947-12-19|71
9/4/1946|1946-09-04|72
10/15/1997|1997-10-15|21
7/21/1948|1948-07-21|70
10/19/1941|1941-10-19|77
3/13/2009|2009-03-13|9
7/23/1969|1969-07-23|49
11/4/1947|1947-11-04|71
8/7/2004|2004-08-07|14
6/25/2012|2012-06-25|6
4/7/1992|1992-04-07|26
5/12/1952|1952-05-12|66
10/30/1962|1962-10-30|56
6/15/1955|1955-06-15|63
7/3/1955|1955-07-03|63
3/25/1989|1989-03-25|29
10/13/1959|1959-10-13|59
3/3/2012|2012-03-03|6
12/1/1995|1995-12-01|23
4/3/1977|1977-04-03|41
10/9/2008|2008-10-09|10
6/10/1986|1986-06-10|32
11/12/1971|1971-11-12|47
7/13/1953|1953-07-13|65
3/3/1970|1970-03-03|48
11/12/1953|1953-11-12|65
3/13/1935|1935-03-13|83
8/21/1966|1966-08-21|52
10/3/1969|1969-10-03|49
6/11/1945|1945-06-11|73
10/16/1963|1963-10-16|55
5/20/2009|2009-05-20|9
8/2/1951|1951-08-02|67
3/11/1998|1998-03-11|20
1/7/1967|1967-01-07|51
6/1/1935|1935-06-01|83
6/3/1933|1933-06-03|85
6/5/1987|1987-06-05|31
7/6/1989|1989-07-06|29
3/22/1985|1985-03-22|33
4/12/1952|1952-04-12|66
11/22/1936|1936-11-22|82
7/24/2008|2008-07-24|10
1/9/1970|1970-01-09|48
4/28/1962|1962-04-28|56
12/17/1940|1940-12-17|78
5/9/1971|1971-05-09|47
2/1/1939|1939-02-01|79
9/10/1957|1957-09-10|61
3/26/1964|1964-03-26|54
8/14/1971|1971-08-14|47
7/28/1960|1960-07-28|58
5/6/2014|2014-05-06|4
2/26/1975|1975-02-26|43
7/14/1950|1950-07-14|68
4/7/2001|2001-04-07|17
7/16/1948|1948-07-16|70
2/22/1987|1987-02-22|31
2/5/1969|1969-02-05|49
10/5/1964|1964-10-05|54
7/10/1966|1966-07-10|52
12/13/2012|2012-12-13|6
1/22/2005|2005-01-22|13
2/17/1937|1937-02-17|81
12/8/1964|1964-12-08|54
11/17/1960|1960-11-17|58
6/13/1979|1979-06-13|39
3/20/1941|1941-03-20|77
10/14/1962|1962-10-14|56
11/11/1987|1987-11-11|31
7/19/1996|1996-07-19|22
2/17/1934|1934-02-17|84
4/17/1988|1988-04-17|30
12/8/1935|1935-12-08|83
2/13/1975|1975-02-13|43
4/6/2010|2010-04-06|8
2/8/1978|1978-02-08|40
10/9/1983|1983-10-09|35
4/10/1995|1995-04-10|23
8/5/1988|1988-08-05|30
3/5/2015|2015-03-05|3
4/17/1963|1963-04-17|55
5/26/2017|2017-05-26|1
9/18/1986|1986-09-18|32
7/16/2016|2016-07-16|2
8/2/1947|1947-08-02|71
6/16/1950|1950-06-16|68
2/21/1953|1953-02-21|65
2/22/1940|1940-02-22|78
4/24/1962|1962-04-24|56
1/21/1959|1959-01-21|59
1/23/1968|1968-01-23|50
2/23/1943|1943-02-23|75
11/27/2008|2008-11-27|10
11/13/1963|1963-11-13|55
8/10/1990|1990-08-10|28
7/21/1996|1996-07-21|22
6/5/1954|1954-06-05|64
9/4/1985|1985-09-04|33
4/5/1963|1963-04-05|55
8/3/2000|2000-08-03|18
4/20/1935|1935-04-20|83
7/14/2010|2010-07-14|8
1/14/1999|1999-01-14|19
4/16/1953|1953-04-16|65
11/6/1987|1987-11-06|31
5/17/1961|1961-05-17|57
8/22/1971|1971-08-22|47
1/17/1945|1945-01-17|73
10/10/1978|1978-10-10|40
10/27/1987|1987-10-27|31
2/7/1989|1989-02-07|29
10/2/1999|1999-10-02|19
12/17/2004|2004-12-17|14
1/4/1951|1951-01-04|67
12/26/1986|1986-12-26|32
1/26/2010|2010-01-26|8
5/2/1985|1985-05-02|33
11/8/1963|1963-11-08|55
5/23/1941|1941-05-23|77
2/8/1944|1944-02-08|74
7/7/1982|1982-07-07|36
10/17/1955|1955-10-17|63
7/20/1985|1985-07-20|33
8/20/1974|1974-08-20|44
12/1/1947|1947-12-01|71
11/25/1970|1970-11-25|48
9/22/1974|1974-09-22|44
1/23/1935|1935-01-23|83
6/14/1950|1950-06-14|68
9/12/1958|1958-09-12|60
9/24/1957|1957-09-24|61
8/14/1955|1955-08-14|63
5/6/2009|2009-05-06|9
4/14/1956|1956-04-14|62
2/20/1949|1949-02-20|69
3/29/1968|1968-03-29|50
8/15/1953|1953-08-15|65
8/13/2011|2011-08-13|7
7/16/1978|1978-07-16|40
1/10/1972|1972-01-10|46
4/26/1942|1942-04-26|76
3/28/1955|1955-03-28|63
11/9/2003|2003-11-09|15
7/17/1982|1982-07-17|36
3/14/1989|1989-03-14|29
11/27/1955|1955-11-27|63
10/9/1935|1935-10-09|83
1/1/1974|1974-01-01|44
5/2/2010|2010-05-02|8
9/3/1966|1966-09-03|52
6/9/2011|2011-06-09|7
3/29/2005|2005-03-29|13
12/28/1983|1983-12-28|35
7/9/2002|2002-07-09|16
8/4/1989|1989-08-04|29
4/13/2012|2012-04-13|6
4/21/2015|2015-04-21|3
6/8/1984|1984-06-08|34
8/8/1936|1936-08-08|82
5/25/2006|2006-05-25|12
6/6/2005|2005-06-06|13
8/4/1949|1949-08-04|69
10/1/1953|1953-10-01|65
9/27/1974|1974-09-27|44
3/7/2016|2016-03-07|2
10/12/1933|1933-10-12|85
12/4/2009|2009-12-04|9
6/14/1984|1984-06-14|34
4/29/1965|1965-04-29|53
10/17/1935|1935-10-17|83
9/17/1992|1992-09-17|26
12/5/1941|1941-12-05|77
6/1/1941|1941-06-01|77
9/14/2017|2017-09-14|1
6/17/1968|1968-06-17|50
8/7/2001|2001-08-07|17
1/24/1938|1938-01-24|80
12/12/2006|2006-12-12|12
3/1/1994|1994-03-01|24
10/11/1992|1992-10-11|26
3/30/1943|1943-03-30|75
10/29/1973|1973-10-29|45
11/8/1961|1961-11-08|57
11/11/1938|1938-11-11|80
11/9/1965|1965-11-09|53
3/29/1988|1988-03-29|30
7/21/2008|2008-07-21|10
12/24/1998|1998-12-24|20
11/23/1998|1998-11-23|20
5/22/1949|1949-05-22|69
5/20/1945|1945-05-20|73
11/14/1990|1990-11-14|28
12/21/1971|1971-12-21|47
6/22/1986|1986-06-22|32
1/5/2015|2015-01-05|3
6/2/1970|1970-06-02|48
1/2/1940|1940-01-02|78
10/8/1937|1937-10-08|81
5/8/1988|1988-05-08|30
9/28/1952|1952-09-28|66
2/15/1948|1948-02-15|70
11/15/1978|1978-11-15|40
9/1/1992|1992-09-01|26
3/8/2001|2001-03-08|17
4/3/1955|1955-04-03|63
10/30/2012|2012-10-30|6
4/11/1987|1987-04-11|31
2/9/1993|1993-02-09|25
2/16/1990|1990-02-16|28
1/16/1967|1967-01-16|51
3/8/1953|1953-03-08|65
6/10/1996|1996-06-10|22
6/3/1954|1954-06-03|64
9/23/1987|1987-09-23|31
4/26/1935|1935-04-26|83
10/17/2000|2000-10-17|18
9/17/1945|1945-09-17|73
8/12/1955|1955-08-12|63
6/1/1982|1982-06-01|36
11/24/1950|1950-11-24|68
4/20/2010|2010-04-20|8
7/30/1976|1976-07-30|42
7/25/1934|1934-07-25|84
9/11/1997|1997-09-11|21
1/18/2007|2007-01-18|11
9/24/1982|1982-09-24|36
11/10/1969|1969-11-10|49
4/9/1936|1936-04-09|82
12/20/2015|2015-12-20|3
2/27/2006|2006-02-27|12
1/18/1959|1959-01-18|59
9/14/1956|1956-09-14|62
7/22/1940|1940-07-22|78
5/2/1995|1995-05-02|23
5/18/1948|1948-05-18|70
12/24/1999|1999-12-24|19
10/30/1951|1951-10-30|67
11/1/1975|1975-11-01|43
7/18/1965|1965-07-18|53
2/10/1961|1961-02-10|57
6/19/2003|2003-06-19|15
8/9/2000|2000-08-09|18
6/5/1944|1944-06-05|74
7/3/1941|1941-07-03|77
10/18/1955|1955-10-18|63
1/5/1938|1938-01-05|80
2/8/1949|1949-02-08|69
10/26/1983|1983-10-26|35
9/29/1969|1969-09-29|49
7/20/1944|1944-07-20|74
11/28/2012|2012-11-28|6
5/24/1967|1967-05-24|51
8/16/1959|1959-08-16|59
2/7/1987|1987-02-07|31
6/17/2008|2008-06-17|10
2/21/1946|1946-02-21|72
4/2/2017|2017-04-02|1
8/11/1948|1948-08-11|70
3/25/1963|1963-03-25|55
9/23/1967|1967-09-23|51
12/30/1948|1948-12-30|70
2/11/1972|1972-02-11|46
11/12/2011|2011-11-12|7
10/14/2001|2001-10-14|17
7/30/1989|1989-07-30|29
9/10/1937|1937-09-10|81
4/18/1958|1958-04-18|60
2/8/1951|1951-02-08|67
9/9/1981|1981-09-09|37
1/6/1983|1983-01-06|35
11/28/2014|2014-11-28|4
6/5/1994|1994-06-05|24
6/11/1953|1953-06-11|65
3/8/1947|1947-03-08|71
3/16/1963|1963-03-16|55
7/3/1986|1986-07-03|32
4/15/1964|1964-04-15|54
2/12/1975|1975-02-12|43
12/25/1948|1948-12-25|70
11/11/1992|1992-11-11|26
5/25/1942|1942-05-25|76
11/25/1952|1952-11-25|66
12/3/1975|1975-12-03|43
10/9/2002|2002-10-09|16
2/2/2013|2013-02-02|5
11/29/1962|1962-11-29|56
12/7/1998|1998-12-07|20
3/23/1949|1949-03-23|69
6/23/1989|1989-06-23|29
7/15/1974|1974-07-15|44
7/17/1962|1962-07-17|56
1/27/1934|1934-01-27|84
2/10/1971|1971-02-10|47
2/17/1988|1988-02-17|30
7/15/2016|2016-07-15|2
7/30/1951|1951-07-30|67
11/4/1966|1966-11-04|52
12/29/2004|2004-12-29|14
11/4/1943|1943-11-04|75
7/12/1938|1938-07-12|80
1/13/1939|1939-01-13|79
12/2/1996|1996-12-02|22
11/22/1946|1946-11-22|72
2/23/1986|1986-02-23|32
3/20/1987|1987-03-20|31
6/27/1954|1954-06-27|64
2/19/2001|2001-02-19|17
7/19/1965|1965-07-19|53
11/5/1984|1984-11-05|34
5/17/1997|1997-05-17|21
8/4/2014|2014-08-04|4
5/3/1948|1948-05-03|70
6/18/1951|1951-06-18|67
3/29/2010|2010-03-29|8
3/25/1965|1965-03-25|53
6/21/1942|1942-06-21|76
10/4/1972|1972-10-04|46
4/27/1973|1973-04-27|45
3/29/1993|1993-03-29|25
2/2/1989|1989-02-02|29
5/16/2010|2010-05-16|8
9/16/1947|1947-09-16|71
6/24/1993|1993-06-24|25
1/29/1981|1981-01-29|37
11/26/1957|1957-11-26|61
1/9/1996|1996-01-09|22
6/12/1999|1999-06-12|19
4/17/1971|1971-04-17|47
6/10/1971|1971-06-10|47
6/5/1950|1950-06-05|68
7/11/1943|1943-07-11|75
1/26/1981|1981-01-26|37
3/17/1970|1970-03-17|48
5/1/1958|1958-05-01|60
11/23/2007|2007-11-23|11
3/11/1945|1945-03-11|73
12/7/1936|1936-12-07|82
11/19/1989|1989-11-19|29
6/3/1987|1987-06-03|31
9/6/2012|2012-09-06|6
7/1/1950|1950-07-01|68
6/15/1989|1989-06-15|29
9/26/1986|1986-09-26|32
4/24/1935|1935-04-24|83
6/3/1996|1996-06-03|22
7/12/1966|1966-07-12|52
4/8/2001|2001-04-08|17
2/14/2014|2014-02-14|4
6/20/2013|2013-06-20|5
12/17/1991|1991-12-17|27
7/15/1995|1995-07-15|23
2/24/1962|1962-02-24|56
3/14/1934|1934-03-14|84
7/15/1956|1956-07-15|62
1/20/1973|1973-01-20|45
12/12/1968|1968-12-12|50
4/26/1979|1979-04-26|39
2/12/1992|1992-02-12|26
3/11/2011|2011-03-11|7
9/29/1975|1975-09-29|43
12/24/2003|2003-12-24|15
4/23/1962|1962-04-23|56
5/13/1958|1958-05-13|60
5/11/1951|1951-05-11|67
7/24/2012|2012-07-24|6
6/5/1999|1999-06-05|19
7/17/2004|2004-07-17|14
2/19/1956|1956-02-19|62
1/12/1988|1988-01-12|30
5/26/1939|1939-05-26|79
6/18/1974|1974-06-18|44
2/21/1992|1992-02-21|26
2/15/2007|2007-02-15|11
5/27/2017|2017-05-27|1
10/18/1978|1978-10-18|40
2/22/1988|1988-02-22|30
8/6/1951|1951-08-06|67
7/24/1970|1970-07-24|48
9/8/1942|1942-09-08|76
3/30/1966|1966-03-30|52
9/26/1980|1980-09-26|38
6/3/2004|2004-06-03|14
2/10/1947|1947-02-10|71
12/13/1968|1968-12-13|50
4/24/1934|1934-04-24|84
2/8/2000|2000-02-08|18
6/9/2001|2001-06-09|17
4/25/1940|1940-04-25|78
1/27/1961|1961-01-27|57
7/13/2001|2001-07-13|17
6/26/1973|1973-06-26|45
6/19/1978|1978-06-19|40
9/10/1933|1933-09-10|85
6/2/1974|1974-06-02|44
10/21/1966|1966-10-21|52
6/8/1997|1997-06-08|21
4/18/2016|2016-04-18|2
8/25/2016|2016-08-25|2
6/11/1993|1993-06-11|25
7/13/1934|1934-07-13|84
5/16/1950|1950-05-16|68
12/15/2013|2013-12-15|5
6/25/1977|1977-06-25|41
10/13/1946|1946-10-13|72
4/28/2013|2013-04-28|5
9/16/1952|1952-09-16|66
7/19/1945|1945-07-19|73
10/8/1985|1985-10-08|33
7/27/2003|2003-07-27|15
10/29/1940|1940-10-29|78
12/6/1957|1957-12-06|61
4/4/2010|2010-04-04|8
6/26/1978|1978-06-26|40
3/29/1950|1950-03-29|68
10/16/1968|1968-10-16|50
6/23/2005|2005-06-23|13
11/27/2005|2005-11-27|13
8/17/2000|2000-08-17|18
2/12/1953|1953-02-12|65
6/20/1984|1984-06-20|34
11/24/2008|2008-11-24|10
1/2/1952|1952-01-02|66
9/8/2004|2004-09-08|14
12/11/1988|1988-12-11|30
3/1/1990|1990-03-01|28
8/15/1995|1995-08-15|23
3/11/1986|1986-03-11|32
6/4/1948|1948-06-04|70
2/19/1954|1954-02-19|64
4/10/1981|1981-04-10|37
8/25/1970|1970-08-25|48
7/29/1956|1956-07-29|62
12/30/1995|1995-12-30|23
1/24/1950|1950-01-24|68
3/28/1978|1978-03-28|40
2/11/1982|1982-02-11|36
7/14/1977|1977-07-14|41
12/6/2014|2014-12-06|4
9/13/1960|1960-09-13|58
12/28/1990|1990-12-28|28
4/12/1964|1964-04-12|54
3/11/2010|2010-03-11|8
5/20/1978|1978-05-20|40
1/23/1938|1938-01-23|80
5/7/1974|1974-05-07|44
8/8/1979|1979-08-08|39
9/1/1950|1950-09-01|68
1/24/1956|1956-01-24|62
6/18/2008|2008-06-18|10
12/25/1985|1985-12-25|33
1/29/1976|1976-01-29|42
11/22/1939|1939-11-22|79
8/30/1967|1967-08-30|51
1/22/1980|1980-01-22|38
6/15/1995|1995-06-15|23
6/17/1993|1993-06-17|25
10/2/2015|2015-10-02|3
6/10/1949|1949-06-10|69
2/7/2009|2009-02-07|9
1/22/1984|1984-01-22|34
12/14/1995|1995-12-14|23
7/29/2005|2005-07-29|13
5/18/1999|1999-05-18|19
2/1/1974|1974-02-01|44
8/19/1954|1954-08-19|64
7/18/1958|1958-07-18|60
2/1/1956|1956-02-01|62
8/6/1936|1936-08-06|82
4/18/1997|1997-04-18|21
3/23/1987|1987-03-23|31
10/18/1976|1976-10-18|42
10/4/1955|1955-10-04|63
12/2/1980|1980-12-02|38
6/19/2017|2017-06-19|1
12/25/1936|1936-12-25|82
8/17/1992|1992-08-17|26
9/9/1993|1993-09-09|25
2/7/1954|1954-02-07|64
2/7/1962|1962-02-07|56
12/11/2004|2004-12-11|14
12/25/1969|1969-12-25|49
1/20/1974|1974-01-20|44
9/7/1990|1990-09-07|28
1/5/2014|2014-01-05|4
9/11/1980|1980-09-11|38
12/18/2000|2000-12-18|18
11/14/1948|1948-11-14|70
7/4/1994|1994-07-04|24
1/24/2005|2005-01-24|13
3/24/1988|1988-03-24|30
2/14/2002|2002-02-14|16
8/30/1956|1956-08-30|62
3/17/2016|2016-03-17|2
12/19/2010|2010-12-19|8
10/20/1986|1986-10-20|32
9/11/1942|1942-09-11|76
7/6/2008|2008-07-06|10
9/13/2007|2007-09-13|11
8/1/1992|1992-08-01|26
1/16/2005|2005-01-16|13
4/4/1988|1988-04-04|30
10/23/1966|1966-10-23|52
4/26/1934|1934-04-26|84
2/22/2007|2007-02-22|11
9/9/1974|1974-09-09|44
10/20/1968|1968-10-20|50
2/14/1983|1983-02-14|35
5/27/1966|1966-05-27|52
4/17/1979|1979-04-17|39
1/29/1978|1978-01-29|40
3/19/1940|1940-03-19|78
6/13/1995|1995-06-13|23
6/22/1955|1955-06-22|63
8/12/1971|1971-08-12|47
1/19/1952|1952-01-19|66
3/28/1985|1985-03-28|33
6/8/1994|1994-06-08|24
11/29/2006|2006-11-29|12
4/26/1967|1967-04-26|51
11/16/1951|1951-11-16|67
6/6/1948|1948-06-06|70
10/28/2012|2012-10-28|6
10/9/1949|1949-10-09|69
2/8/2008|2008-02-08|10
2/14/2009|2009-02-14|9
3/12/1942|1942-03-12|76
12/2/1957|1957-12-02|61
10/20/1988|1988-10-20|30
3/11/1992|1992-03-11|26
5/6/1986|1986-05-06|32
1/20/1977|1977-01-20|41
4/5/1951|1951-04-05|67
4/7/1948|1948-04-07|70
6/14/1993|1993-06-14|25
10/8/1986|1986-10-08|32
12/22/2017|2017-12-22|1
4/3/1972|1972-04-03|46
12/28/1975|1975-12-28|43
7/21/1973|1973-07-21|45
3/17/1981|1981-03-17|37
7/13/1979|1979-07-13|39
5/4/1940|1940-05-04|78
9/26/1985|1985-09-26|33
12/27/1962|1962-12-27|56
7/16/1946|1946-07-16|72
1/30/1983|1983-01-30|35
9/8/1964|1964-09-08|54
2/2/1988|1988-02-02|30
1/4/1941|1941-01-04|77
9/22/1995|1995-09-22|23
8/2/1974|1974-08-02|44
2/24/1990|1990-02-24|28
7/14/1936|1936-07-14|82
5/8/1945|1945-05-08|73
2/10/2002|2002-02-10|16
5/11/1950|1950-05-11|68
11/16/1968|1968-11-16|50
3/17/1991|1991-03-17|27
11/12/1956|1956-11-12|62
12/11/1964|1964-12-11|54
11/28/2017|2017-11-28|1
11/10/1945|1945-11-10|73
6/13/2004|2004-06-13|14
7/15/1987|1987-07-15|31
3/10/1977|1977-03-10|41
10/2/1933|1933-10-02|85
11/20/1992|1992-11-20|26
4/26/1997|1997-04-26|21
10/13/1950|1950-10-13|68
5/8/1976|1976-05-08|42
9/17/1973|1973-09-17|45
2/14/1942|1942-02-14|76
9/8/1959|1959-09-08|59
5/26/1934|1934-05-26|84
10/10/2013|2013-10-10|5
3/30/1936|1936-03-30|82
4/3/1950|1950-04-03|68
8/3/1962|1962-08-03|56
3/17/1989|1989-03-17|29
12/2/1940|1940-12-02|78
4/3/2010|2010-04-03|8
2/24/1946|1946-02-24|72
5/2/2011|2011-05-02|7
9/5/2004|2004-09-05|14
9/16/1999|1999-09-16|19
10/17/2002|2002-10-17|16
3/19/1979|1979-03-19|39
4/4/1970|1970-04-04|48
2/1/1947|1947-02-01|71
6/27/1973|1973-06-27|45
